,Symbol,Company_Name,Industry,Market_Cap_Millions
111,ADP,Automatic Data Processing,IT Services,89450
112,ADPT,Adaptive Biotechnologies,Life Sciences Tools & Services,1360
113,ADRA,Adara Acquisition,Blank Check / SPAC,142
114,ADRT,Ault Disruptive Technologies,Blank Check / SPAC,144
115,ADSE,ADS-TEC Energy Public Limited Company,Electrical Equipment & Parts,343
116,ADSK,Autodesk,Software,38290
117,ADT,ADT Inc.,Commercial Services & Supplies,6170
118,ADTH,AdTheorent Holding Company,Advertising Agencies,242
119,ADTN,ADTRAN Holdings,Communications Equipment,992
120,ADTX,Aditx,Biotechnology,7
121,ADUS,Addus HomeCare,Health Care Providers & Services,1450
122,ADV,Advantage Solutions,Advertising Agencies,1340
123,ADVM,Adverum Biotechnologies,Biotechnology,162
124,ADXN,Addex Therapeutics,Biotechnology,6
125,ADXS,Advaxis,Biotechnology,7
126,AE,Adams Resources & Energy,"Oil, Gas & Consumable Fuels",138
127,AEAC,Authentic Equity Acquisition,Blank Check / SPAC,295
128,AEAE,AltEnergy Acquisition,Blank Check / SPAC,286
129,AEE,Ameren,Multi-Utilities,22660
130,AEG,Aegon,Insurance,8060
131,AEHA,Aesther Healthcare Acquisition,Blank Check / SPAC,134
132,AEHL,Antelope Enterprise Holdings,Building Products & Equipment,6
133,AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment,220
134,AEI,Alset EHome International,Real Estate-Development,33
135,AEIS,Advanced Energy Industries,Semiconductors & Semiconductor Equipment,2890
136,AEL,American Equity Investment Life Holding Company,Insurance,3200
137,AEM,Agnico Eagle Mines,Metals & Mining,19420
138,AEMD,Aethlon Medical,Health Care Equipment & Supplies,16
139,AENZ,Aenza,Engineering & Construction,248
140,AEO,American Eagle Outfitters,Specialty Retail,2000
141,AEP,American Electric Power Company,Electric Utilities,48900
142,AER,AerCap Holdings,Trading Companies & Distributors,9830
143,AERC,AeroClean Technologies,Pollution & Treatment Controls,170
144,AERI,Aerie Pharmaceuticals,Pharmaceuticals,387
145,AES,The AES Corporation,Independent Power and Renewable Elect...,13590
146,AESE,Allied Esports Entertainment,"Hotels, Restaurants & Leisure",59
147,AEVA,Aeva Technologies,Auto Parts,704
148,AEY,ADDvantage Technologies Group,"Electronic Equipment, Instruments & C...",17
149,AEYE,AudioEye,Software,67
150,AEZS,AEterna Zentaris,Biotechnology,28
151,AFAC,Arena Fortify Acquisition,Blank Check / SPAC,216
152,AFAQ,AF Acquisition,Blank Check / SPAC,274
153,AFAR,Aura FAT Projects Acquisition,Blank Check / SPAC,143
154,AFBI,Affinity Bancshares,Banks,97
155,AFCG,AFC Gamma,REIT-Specialty,307
156,AFG,American Financial Group,Insurance,11310
157,AFIB,Acutus Medical,Medical Devices,32
158,AFL,Aflac,Insurance,34980
159,AFMD,Affimed,Biotechnology,434
160,AFRI,Forafric Global,Farm Products,249
161,AFRM,Affirm Holdings,IT Services,6610
162,AFTR,AfterNext HealthTech Acquisition,Blank Check / SPAC,302
163,AFYA,Afya Limited,Diversified Consumer Services,867
164,AG,First Majestic Silver,Metals & Mining,1810
165,AGAC,African Gold Acquisition,Blank Check / SPAC,507
166,AGBA,AGBA Acquisition,Blank Check / SPAC,53
167,AGCB,Altimeter Growth 2,Blank Check / SPAC,575
168,AGCO,AGCO Corporation,Machinery,6850
169,AGE,AgeX Therapeutics,Biotechnology,27
170,AGEN,Agenus,Biotechnology,814
171,AGFS,AgroFresh Solutions,Chemicals,81
172,AGFY,Agrify,Machinery,40
173,AGGR,Agile Growth,Blank Check / SPAC,379
174,AGI,Alamos Gold,Metals & Mining,2770
175,AGIL,AgileThought,Software-Application,239
176,AGIO,Agios Pharmaceuticals,Biotechnology,1220
177,AGL,agilon health,Medical Care Facilities,10730
178,AGLE,Aeglea Biotherapeutics,Biotechnology,28
179,AGM,Federal Agricultural Mortgage,Thrifts & Mortgage Finance,1040
180,AGM.A,Federal Agricultural Mortgage,Credit Services,1050
181,AGMH,AGM Group Holdings,Capital Markets,45
182,AGNC,AGNC Investment,Mortgage Real Estate Investment Trust...,6120
183,AGO,Assured Guaranty,Insurance,3500
184,AGR,Avangrid,Electric Utilities,17600
185,AGRI,AgriFORCE Growing Systems,Farm Products,31
186,AGRO,Adecoagro,Food Products,804
187,AGRX,Agile Therapeutics,Pharmaceuticals,21
188,AGS,PlayAGS,"Hotels, Restaurants & Leisure",170
189,AGTC,Applied Genetic Technologies,Biotechnology,23
190,AGTI,Agiliti,Health Information Services,2720
191,AGX,Argan,Construction & Engineering,502
192,AGYS,Agilysys,Software,1220
193,AHCO,AdaptHealth,Health Care Providers & Services,2700
194,AHG,Akso Health Group,Credit Services,25
195,AHH,Armada Hoffler Properties,Equity Real Estate Investment Trusts ...,1140
196,AHI,Advanced Human Imaging,Software-Application,15
197,AHPA,Avista Public Acquisition II,Blank Check / SPAC,290
198,AHPI,Allied Healthcare Products,Health Care Equipment & Supplies,7
199,AHRN,Ahren Acquisition,Blank Check / SPAC,372
200,AHT,Ashford Hospitality Trust,Equity Real Estate Investment Trusts ...,282
201,AI,C3.ai,Software,2050
202,AIB,AIB Acquisition,Blank Check / SPAC,111
203,AIG,American International Group,Insurance,39670
204,AIH,Aesthetic Medical International Holdings Group,Health Care Providers & Services,57
205,AIHS,Senmiao Technology,Consumer Finance,6
206,AIKI,AIkido Pharma,Biotechnology,32
207,AIM,AIM ImmunoTech,Biotechnology,36
208,AIMA,Aimfinity Investment I,Blank Check / SPAC,90
209,AIMC,Altra Industrial Motion,Machinery,2310
210,AIN,Albany International,Machinery,2500
211,AINC,Ashford,Capital Markets,44
212,AINV,Apollo Investment,Capital Markets,706
213,AIP,Arteris,Semiconductors,243
214,AIR,AAR Corp.,Aerospace & Defense,1470
215,AIRC,Apartment Income REIT,Equity Real Estate Investment Trusts ...,6550
216,AIRG,Airgain,"Electronic Equipment, Instruments & C...",85
217,AIRI,Air Industries Group,Aerospace & Defense,21
218,AIRS,AirSculpt Technologies,Medical Care Facilities,353
219,AIRT,Air T,Air Freight & Logistics,40
220,AIT,Applied Industrial Technologies,Trading Companies & Distributors,3480
221,AIU,Meta Data,Education & Training Services,22
222,AIV,Apartment Investment & Management Company,Equity Real Estate Investment Trusts ...,1070
223,AIZ,Assurant,Insurance,9030
224,AJG,Arthur J. Gallagher & Company,Insurance,34820
225,AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,3220
226,AJX,Great Ajax,Mortgage Real Estate Investment Trust...,229
227,AKA,a.k.a. Brands Holding,Internet Retail,355
228,AKAM,Akamai Technologies,IT Services,14170
229,AKAN,Akanda,Drug Manufacturers-Specialty & Generic,32
230,AKBA,Akebia Therapeutics,Biotechnology,77
231,AKIC,Sports Ventures Acquisition,Blank Check / SPAC,289
232,AKO.A,Embotelladora Andina,Beverages-Non-Alcoholic,1470
233,AKO.B,Embotelladora Andina,Beverages-Non-Alcoholic,1640
234,AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts ...,1600
235,AKRO,Akero Therapeutics,Biotechnology,414
236,AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",200
237,AKTX,Akari Therapeutics,Pharmaceuticals,49
238,AKU,Akumin,Diagnostics & Research,47
239,AKUS,Akouos,Biotechnology,145
240,AKYA,Akoya Biosciences,Medical Instruments & Supplies,501
241,AL,Air Lease,Trading Companies & Distributors,3730
242,ALB,Albemarle,Chemicals,23500
243,ALBO,Albireo Pharma,Biotechnology,476
244,ALC,Alcon,Medical Instruments & Supplies,34920
245,ALCC,AltC Acquisition,Blank Check / SPAC,620
246,ALCO,Alico,Food Products,266
247,ALDX,Aldeyra Therapeutics,Biotechnology,275
248,ALE,ALLETE,Electric Utilities,3350
249,ALEC,Alector,Biotechnology,910
250,ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts ...,1280
251,ALF,"ALFI, Inc.",Software-Infrastructure,19
252,ALG,Alamo Group,Machinery,1380
253,ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,4040
254,ALGN,Align Technology,Health Care Equipment & Supplies,20090
255,ALGS,Aligos Therapeutics,Biotechnology,67
256,ALGT,Allegiant Travel Company,Airlines,2100
257,ALHC,Alignment Healthcare,Health Care Providers & Services,2670
258,ALIM,Alimera Sciences,Pharmaceuticals,36
259,ALIT,Alight,Software-Application,3940
260,ALJJ,ALJ Regional Holdings,IT Services,86
261,ALK,Alaska Air Group,Airlines,5210
262,ALKS,Alkermes,Biotechnology,4910
263,ALKT,Alkami Technology,Software-Application,1160
264,ALL,The Allstate Corporation,Insurance,33660
265,ALLE,Allegion,Building Products,8520
266,ALLG,Allego,Auto Parts,912
267,ALLK,Allakos,Biotechnology,199
268,ALLO,Allogene Therapeutics,Biotechnology,1840
269,ALLR,Allarity Therapeutics,Biotechnology,10
270,ALLT,Allot,Software,180
271,ALLY,Ally Financial,Consumer Finance,11120
272,ALNA,Allena Pharmaceuticals,Biotechnology,17
273,ALNY,Alnylam Pharmaceuticals,Biotechnology,17570
274,ALOR,ALSP Orchid Acquisition I,Blank Check / SPAC,224
275,ALOT,AstroNova,"Technology Hardware, Storage & Periph...",88
276,ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,191
277,ALPN,Alpine Immune Sciences,Biotechnology,272
278,ALPP,Alpine 4 Holdings,Metal Fabrication,121
279,ALR,AlerisLife,Medical Care Facilities,36
280,ALRM,Alarm.com Holdings,Software,3320
281,ALRN,Aileron Therapeutics,Biotechnology,20
282,ALRS,Alerus Financial,Diversified Financial Services,454
283,ALSA,Alpha Star Acquisition,Blank Check / SPAC,146
284,ALSN,Allison Transmission Holdings,Machinery,3630
285,ALT,Altimmune,Biotechnology,489
286,ALTG,Alta Equipment Group,Trading Companies & Distributors,325
287,ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",285
288,ALTR,Altair Engineering,Software,4100
289,ALTU,Altitude Acquisition,Blank Check / SPAC,372
290,ALV,Autoliv,Auto Components,6500
291,ALVO,Alvotech,Drug Manufacturers-Specialty & Generic,1380
292,ALVR,AlloVir,Biotechnology,329
293,ALX,Alexander's,Equity Real Estate Investment Trusts ...,1200
294,ALXO,ALX Oncology Holdings,Biotechnology,421
295,ALYA,Alithya Group,IT Services,204
296,ALZN,Alzamend Neuro,Biotechnology,86
297,AM,Antero Midstream,"Oil, Gas & Consumable Fuels",4430
298,AMAL,Amalgamated Financial,Banks,628
299,AMAM,Ambrx Biopharma,Biotechnology,104
300,AMAO,American Acquisition Opportunity,Blank Check / SPAC,43
301,AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,82180
302,AMBA,Ambarella,Semiconductors & Semiconductor Equipment,2600
303,AMBC,Ambac Financial Group,Insurance,531
304,AMBO,Ambow Education Holding,Diversified Consumer Services,10
305,AMBP,Ardagh Metal Packaging,Packaging & Containers,3380
306,AMC,AMC Entertainment Holdings,Entertainment,7890
307,AMCI,AMCI Acquisition II,Blank Check / SPAC,184
308,AMCR,Amcor,Containers & Packaging,18750
309,AMCX,AMC Networks,Media,1270
310,AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,131440
311,AME,AMETEK,Electrical Equipment,25790
312,AMED,Amedisys,Health Care Providers & Services,4100
313,AMEH,Apollo Medical Holdings,Health Care Providers & Services,2100
314,AMG,Affiliated Managers Group,Capital Markets,4510
315,AMGN,Amgen,Biotechnology,132850
316,AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts ...,14420
317,AMK,AssetMark Financial Holdings,Capital Markets,1300
318,AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,4250
319,AMLX,Amylyx Pharmaceuticals,Biotechnology,1200
320,AMN,AMN Healthcare Services,Health Care Providers & Services,5260
321,AMNB,American National Bankshares,Banks,371
322,AMOT,Allied Motion Technologies,Electrical Equipment,376
323,AMOV,America Movil,Wireless Telecommunication Services,60000
324,AMP,Ameriprise Financial,Capital Markets,25310
325,AMPE,Ampio Pharmaceuticals,Pharmaceuticals,37
326,AMPG,AmpliTech Group,Communication Equipment,24
327,AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1810
328,AMPI,Advanced Merger Partners,Blank Check / SPAC,351
329,AMPL,Amplitude,Software-Application,1630
330,AMPS,Altus Power,Utilities-Renewable,1000
331,AMPY,Amplify Energy,Oil & Gas E&P,231
332,AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",2400
333,AMRC,Ameresco,Construction & Engineering,2270
334,AMRK,A-Mark Precious Metals,Diversified Financial Services,670
335,AMRN,Amarin,Biotechnology,535
336,AMRS,Amyris,Chemicals,578
337,AMRX,Amneal Pharmaceuticals,Pharmaceuticals,948
338,AMS,American Shared Hospital Services,Health Care Providers & Services,13
339,AMSC,American Superconductor,Electrical Equipment,135
340,AMSF,AMERISAFE,Insurance,913
341,AMST,Amesite,Software-Application,12
342,AMSWA,American Software,Software,552
343,AMT,American Tower,Equity Real Estate Investment Trusts ...,119520
344,AMTB,Amerant Bancorp,Banks,989
345,AMTD,AMTD International,Asset Management,3440
346,AMTI,Applied Molecular Transport,Biotechnology,99
347,AMTX,Aemetis,"Oil, Gas & Consumable Fuels",183
348,AMWD,American Woodmark,Building Products,752
349,AMWL,American Well,Health Information Services,1230
350,AMX,America Movil,Wireless Telecommunication Services,60030
